Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,EA,EBAY,EXPE,FAST,FB,FISV,GILD,GOOG,GOOGL,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,TMUS,TSLA,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDAY,WDC,WLTW,WYNN,XEL,XLNX,F,VIS,CF
2015-03-17,50.97,116.91,79.66,52.62,77.95,61.43,56.19,184.12,22.37,2.77,142.59,371.92,101.16,22.26,114.95,203.27,426.12,1153.57,127.27,18.39,121.03,70.82,83.46,188.62,26.96,136.68,24.04,31.76,80.6,60.09,48.26,83.32,54.17,24.67,88.24,18.4,79.36,39.28,87.98,549.33,557.61,54.35,54.25,75.84,194.5,92.34,26.67,94.17,168.58,84.5,28.53,53.79,52.52,50.59,72.77,64.42,77.24,44.88,31.23,126.37,45.43,37.7,27.66,31.11,62.72,59.79,32.75,91.38,22.5,102.02,214.04,43.48,51.11,81.79,58.68,467.8,50.77,43.19,3.84,46.06,90.2,32.06,194.73,25.44,50.83,69.09,150.46,71.21,63.98,129.15,77.66,83.4,81.03,119.09,111.96,29.3,36.81,12.56,98.66,48.29
2015-03-18,51.39,118.23,76.89,53.43,78.59,61.63,56.38,188.16,22.52,2.75,145.62,375.14,101.21,22.71,116.48,210.95,427.93,1181.69,126.11,18.63,122.68,71.1,84.6,189.32,26.89,137.5,24.04,32.15,81.45,61.57,48.8,83.7,55.63,24.23,89.87,18.51,80.91,39.92,87.84,557.97,566.16,54.2,54.58,75.82,195.09,92.25,26.93,95.08,169.62,85.0,29.01,54.15,53.04,51.24,71.4,64.4,77.98,45.32,31.83,125.01,45.57,38.43,28.16,30.96,64.96,60.45,33.21,91.91,22.13,103.52,214.32,43.73,52.07,82.23,59.02,472.11,50.49,43.86,3.84,46.52,90.02,32.25,200.71,25.67,51.12,68.1,150.99,71.25,64.99,129.79,78.49,84.89,82.08,119.72,110.46,30.01,37.37,12.62,99.68,49.18
2015-03-19,52.4,117.33,77.14,53.73,78.6,61.0,58.32,189.07,22.25,2.74,147.87,373.24,101.51,22.3,117.91,214.57,433.65,1176.32,127.49,18.6,125.33,73.26,84.96,188.18,26.78,137.85,24.14,31.87,79.37,62.02,49.29,83.41,55.96,24.0,90.48,18.35,82.75,40.09,88.86,556.46,563.67,53.91,55.17,77.22,199.81,97.08,26.8,94.94,169.59,84.32,28.94,54.54,52.55,50.86,72.74,64.4,78.99,45.4,31.5,121.67,46.09,38.24,28.05,30.73,63.94,60.74,32.67,90.15,22.47,103.48,214.97,43.68,51.13,81.76,58.68,486.02,50.94,44.74,3.85,46.77,92.29,32.58,195.65,25.72,51.32,70.09,152.29,71.05,64.27,134.25,78.65,85.35,83.27,119.31,116.93,29.6,37.55,12.52,99.15,48.39
2015-03-20,52.94,115.86,77.36,54.69,78.96,60.98,57.18,187.71,22.29,2.8,148.73,378.49,104.37,22.56,119.03,212.69,475.98,1179.17,125.17,18.66,128.5,73.17,85.12,189.01,27.1,139.02,24.29,32.25,78.04,61.83,49.93,83.81,57.28,24.02,91.66,18.28,83.8,40.15,89.6,558.83,564.95,53.89,56.08,76.4,196.02,95.55,27.29,95.55,169.68,85.71,29.11,55.68,53.25,51.38,73.0,65.74,78.74,45.91,31.57,123.34,45.84,38.77,28.68,31.08,63.06,61.19,33.23,92.43,22.71,106.14,214.79,44.0,51.96,82.84,58.86,488.87,51.29,44.6,3.87,47.13,94.59,32.52,198.08,25.68,51.98,69.45,152.02,71.0,64.75,131.0,79.43,84.91,84.23,119.26,116.81,29.86,37.97,12.63,99.74,48.42
2015-03-23,51.65,117.07,76.35,54.09,78.55,60.83,56.33,185.44,22.15,2.84,145.62,375.11,104.9,22.33,120.05,216.78,463.73,1181.18,123.62,18.52,122.94,73.51,84.69,188.87,26.95,139.33,24.26,30.91,79.25,61.7,50.06,83.05,57.27,24.3,91.17,18.24,84.43,40.12,87.83,557.28,565.37,54.16,55.74,77.21,192.1,93.4,27.2,95.27,169.4,84.62,29.0,55.45,52.99,51.33,72.26,63.71,78.95,45.47,32.08,124.17,45.98,38.75,28.02,30.96,63.28,60.71,32.62,95.37,21.98,103.06,215.29,43.7,52.08,83.28,58.89,478.32,50.77,44.56,3.8,46.72,94.32,32.53,199.63,25.68,51.43,67.61,153.18,70.62,65.99,125.79,79.15,85.22,83.56,118.87,118.66,30.04,37.24,12.7,99.16,48.38
2015-03-24,51.2,116.59,75.45,54.05,78.24,61.07,55.48,183.44,22.09,2.79,145.16,374.09,104.59,22.33,118.88,213.6,452.71,1169.72,123.0,18.49,122.15,73.41,83.78,187.68,26.24,139.52,23.91,30.96,79.16,60.78,49.94,82.83,57.96,24.67,91.24,18.32,85.31,39.8,88.83,568.63,577.54,54.26,55.16,76.29,190.91,92.81,26.84,94.86,167.9,83.57,29.74,55.18,52.53,50.78,72.57,63.3,77.06,44.78,31.82,121.11,46.23,38.79,27.96,30.45,63.09,62.61,31.92,94.25,21.68,102.22,214.52,43.73,52.37,83.29,57.96,473.74,50.9,44.81,3.81,46.44,94.05,32.37,201.72,25.58,51.24,67.63,153.77,70.15,66.29,124.34,79.22,86.49,82.13,117.97,116.38,29.8,36.93,12.69,98.78,49.22
2015-03-25,49.38,113.54,73.13,51.54,76.24,59.35,54.69,175.63,20.91,2.63,140.44,370.96,99.13,21.86,111.12,207.74,431.63,1152.7,115.62,17.99,116.99,71.75,81.38,183.0,25.77,137.65,23.45,30.55,77.24,59.07,49.19,81.17,56.09,24.07,89.78,18.1,82.92,38.92,87.48,557.26,567.0,53.54,54.33,75.05,183.28,90.47,26.06,92.6,165.08,81.57,29.71,52.03,51.8,50.03,67.03,60.96,74.76,43.4,32.54,119.89,45.34,37.49,26.57,29.11,61.23,60.25,31.82,91.77,20.36,98.4,208.98,41.94,51.16,82.77,56.48,453.99,50.04,43.83,3.73,45.69,88.59,31.74,194.3,25.02,48.87,65.56,151.58,69.28,65.13,118.64,77.32,83.26,79.35,116.88,116.13,29.55,35.78,12.4,97.14,49.01
2015-03-26,48.68,114.33,72.97,51.42,75.94,58.72,54.58,176.04,20.7,2.65,140.38,367.35,93.87,21.87,111.37,205.44,428.93,1140.36,115.55,18.0,117.66,71.78,82.19,181.75,25.49,136.71,23.14,30.51,76.7,60.36,49.61,81.02,56.08,23.85,88.65,17.91,83.01,39.22,88.54,553.65,563.64,53.44,53.82,75.07,184.37,89.2,26.22,92.24,166.33,81.31,29.78,51.21,51.63,49.67,65.55,63.97,75.5,43.51,31.88,120.19,45.52,37.26,26.66,29.11,61.88,59.75,31.65,93.16,20.29,95.8,211.19,41.78,50.91,83.09,56.44,448.38,49.53,43.51,3.76,45.61,86.24,31.86,190.41,24.74,48.93,64.97,150.01,69.35,64.92,117.6,76.02,83.98,78.53,116.54,114.0,29.44,35.91,12.27,96.84,49.09
2015-03-27,50.0,113.42,73.31,52.69,76.14,58.72,54.04,180.59,21.1,2.72,142.17,370.56,96.51,22.15,114.49,207.33,429.87,1135.19,128.78,18.08,118.68,72.73,82.37,180.0,25.5,137.09,23.17,30.45,77.88,60.81,49.79,81.72,58.24,23.89,89.53,17.79,83.3,39.2,88.47,546.84,557.55,53.85,54.43,76.58,187.17,94.36,27.9,92.35,165.75,80.74,30.08,51.71,51.51,49.57,66.37,64.32,75.72,44.41,32.45,121.72,46.0,37.04,26.68,29.75,61.63,59.25,31.25,95.33,20.69,98.17,215.42,42.24,50.79,83.37,56.33,454.5,49.7,43.51,3.75,45.79,91.61,31.78,185.0,25.26,49.77,67.75,151.2,69.99,66.3,120.34,76.78,85.06,77.76,117.18,113.46,29.52,38.02,12.25,97.33,48.16
2015-03-30,50.93,116.29,73.6,58.03,77.27,59.3,54.6,180.26,21.04,2.7,143.67,374.59,97.7,22.4,116.58,210.54,431.62,1149.83,129.14,18.44,120.02,73.55,83.48,183.39,25.92,138.82,23.61,30.59,78.22,61.14,50.11,81.81,59.47,24.02,90.01,18.06,83.2,39.87,88.2,550.52,561.14,55.21,55.23,78.06,187.62,94.19,27.42,93.46,168.72,81.25,29.75,52.06,51.69,49.9,66.51,64.83,76.36,45.03,33.31,120.55,46.81,37.03,26.68,30.04,60.0,60.37,31.5,96.43,20.78,100.64,219.38,42.63,51.83,83.86,57.89,459.78,50.47,43.92,3.77,46.42,92.81,31.7,190.57,25.21,50.86,68.19,151.58,70.67,66.99,121.25,77.41,86.14,77.93,118.71,114.54,29.82,38.34,12.39,98.71,48.54
